Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
AAPL@DXFEED,320.28,Day High 320.28,#ffffff,#FF0000,left,3,TRUE
AAPL@DXFEED,310.65,Day Low 310.65,#ffffff,#00AA00,left,3,TRUE
AAPL@DXFEED,319.28,Prev Day High 319.28,#ffffff,#CC0000,left,3,TRUE
AAPL@DXFEED,309.60,Prev Day Low 309.60,#ffffff,#008800,left,3,TRUE
AAPL@DXFEED,300.00,Put Wall/Key Delta Strike 300.00,#ffffff,#00AA00,left,3,TRUE
AAPL@DXFEED,320.00,Call Wall 320.00,#ffffff,#FF0000,left,3,TRUE
AAPL@DXFEED,310.00,Key Gamma Strike 310.00,#ffffff,#FF8C00,left,3,TRUE
AMZN@DXFEED,263.84,Day High 263.84,#ffffff,#FF0000,left,3,TRUE
AMZN@DXFEED,259.52,Day Low 259.52,#ffffff,#00AA00,left,3,TRUE
AMZN@DXFEED,266.40,Prev Day High 266.40,#ffffff,#CC0000,left,3,TRUE
AMZN@DXFEED,258.58,Prev Day Low 258.58,#ffffff,#008800,left,3,TRUE
AMZN@DXFEED,260.00,Put Wall/Key Gamma Strike 260.00,#ffffff,#00AA00,left,3,TRUE
AMZN@DXFEED,270.00,Call Wall 270.00,#ffffff,#FF0000,left,3,TRUE
AMZN@DXFEED,250.00,Key Delta Strike 250.00,#ffffff,#0000FF,left,3,TRUE
GOOGL@DXFEED,343.90,Day High 343.90,#ffffff,#FF0000,left,3,TRUE
GOOGL@DXFEED,338.57,Day Low 338.57,#ffffff,#00AA00,left,3,TRUE
GOOGL@DXFEED,346.73,Prev Day High 346.73,#ffffff,#CC0000,left,3,TRUE
GOOGL@DXFEED,340.66,Prev Day Low 340.66,#ffffff,#008800,left,3,TRUE
GOOGL@DXFEED,340.00,Put Wall 340.00,#ffffff,#00AA00,left,3,TRUE
GOOGL@DXFEED,350.00,Call Wall/Key Gamma Strike/Key Delta Strike 350.00,#ffffff,#FF0000,left,3,TRUE
JNJ@DXFEED,273.40,Day High 273.40,#ffffff,#FF0000,left,3,TRUE
JNJ@DXFEED,267.37,Day Low 267.37,#ffffff,#00AA00,left,3,TRUE
JNJ@DXFEED,276.47,Prev Day High 276.47,#ffffff,#CC0000,left,3,TRUE
JNJ@DXFEED,270.56,Prev Day Low 270.56,#ffffff,#008800,left,3,TRUE
JNJ@DXFEED,250.00,Put Wall/Key Delta Strike 250.00,#ffffff,#00AA00,left,3,TRUE
JNJ@DXFEED,280.00,Call Wall 280.00,#ffffff,#FF0000,left,3,TRUE
JNJ@DXFEED,270.00,Key Gamma Strike 270.00,#ffffff,#FF8C00,left,3,TRUE
META@DXFEED,549.99,Day High 549.99,#ffffff,#FF0000,left,3,TRUE
META@DXFEED,539.31,Day Low 539.31,#ffffff,#00AA00,left,3,TRUE
META@DXFEED,554.07,Prev Day High 554.07,#ffffff,#CC0000,left,3,TRUE
META@DXFEED,537.27,Prev Day Low 537.27,#ffffff,#008800,left,3,TRUE
META@DXFEED,540.00,Put Wall 540.00,#ffffff,#00AA00,left,3,TRUE
META@DXFEED,750.00,Call Wall 750.00,#ffffff,#FF0000,left,3,TRUE
META@DXFEED,550.00,Key Gamma Strike 550.00,#ffffff,#FF8C00,left,3,TRUE
META@DXFEED,600.00,Key Delta Strike 600.00,#ffffff,#0000FF,left,3,TRUE
MSFT@DXFEED,484.16,Day High 484.16,#ffffff,#FF0000,left,3,TRUE
MSFT@DXFEED,479.50,Day Low 479.50,#ffffff,#00AA00,left,3,TRUE
MSFT@DXFEED,489.30,Prev Day High 489.30,#ffffff,#CC0000,left,3,TRUE
MSFT@DXFEED,479.36,Prev Day Low 479.36,#ffffff,#008800,left,3,TRUE
MSFT@DXFEED,480.00,Put Wall/Key Gamma Strike 480.00,#ffffff,#00AA00,left,3,TRUE
MSFT@DXFEED,500.00,Call Wall/Key Delta Strike 500.00,#ffffff,#FF0000,left,3,TRUE
NVDA@DXFEED,219.86,Day High 219.86,#ffffff,#FF0000,left,3,TRUE
NVDA@DXFEED,215.66,Day Low 215.66,#ffffff,#00AA00,left,3,TRUE
NVDA@DXFEED,222.87,Prev Day High 222.87,#ffffff,#CC0000,left,3,TRUE
NVDA@DXFEED,216.76,Prev Day Low 216.76,#ffffff,#008800,left,3,TRUE
NVDA@DXFEED,215.00,Put Wall 215.00,#ffffff,#00AA00,left,3,TRUE
NVDA@DXFEED,220.00,Call Wall/Key Gamma Strike 220.00,#ffffff,#FF0000,left,3,TRUE
NVDA@DXFEED,200.00,Key Delta Strike 200.00,#ffffff,#0000FF,left,3,TRUE
PG@DXFEED,144.92,Day High 144.92,#ffffff,#FF0000,left,3,TRUE
PG@DXFEED,142.56,Day Low 142.56,#ffffff,#00AA00,left,3,TRUE
PG@DXFEED,146.22,Prev Day High 146.22,#ffffff,#CC0000,left,3,TRUE
PG@DXFEED,143.62,Prev Day Low 143.62,#ffffff,#008800,left,3,TRUE
PG@DXFEED,140.00,Put Wall 140.00,#ffffff,#00AA00,left,3,TRUE
PG@DXFEED,155.00,Call Wall 155.00,#ffffff,#FF0000,left,3,TRUE
PG@DXFEED,145.00,Key Gamma Strike/Key Delta Strike 145.00,#ffffff,#FF8C00,left,3,TRUE
QQQ@DXFEED,714.94,Day High 714.94,#ffffff,#FF0000,left,3,TRUE
QQQ@DXFEED,708.52,Day Low 708.52,#ffffff,#00AA00,left,3,TRUE
QQQ@DXFEED,721.50,Prev Day High 721.50,#ffffff,#CC0000,left,3,TRUE
QQQ@DXFEED,712.61,Prev Day Low 712.61,#ffffff,#008800,left,3,TRUE
QQQ@DXFEED,700.00,Put Wall/Key Gamma Strike/Key Delta Strike 700.00,#ffffff,#00AA00,left,3,TRUE
QQQ@DXFEED,730.00,Call Wall 730.00,#ffffff,#FF0000,left,3,TRUE
QQQ@DXFEED,500.00,0DTE Put Wall/0DTE Most Negative Net Gamma/0DTE Most Positive Net Gamma 500.00,#ffffff,#00AA00,left,3,TRUE
QQQ@DXFEED,711.00,0DTE Call Wall 711.00,#ffffff,#FF0000,left,3,TRUE
RITR@DXFEED,0.16,Day High 0.16,#ffffff,#FF0000,left,3,TRUE
RITR@DXFEED,0.08,Day Low/Prev Day High 0.08,#ffffff,#00AA00,left,3,TRUE
RITR@DXFEED,0.06,Prev Day Low 0.06,#ffffff,#008800,left,3,TRUE
SOXS@DXFEED,48.29,Day High 48.29,#ffffff,#FF0000,left,3,TRUE
SOXS@DXFEED,45.47,Day Low 45.47,#ffffff,#00AA00,left,3,TRUE
SOXS@DXFEED,48.34,Prev Day High 48.34,#ffffff,#CC0000,left,3,TRUE
SOXS@DXFEED,42.48,Prev Day Low 42.48,#ffffff,#008800,left,3,TRUE
SOXS@DXFEED,45.00,Put Wall/Key Gamma Strike 45.00,#ffffff,#00AA00,left,3,TRUE
SOXS@DXFEED,50.00,Call Wall 50.00,#ffffff,#FF0000,left,3,TRUE
SOXS@DXFEED,40.00,Key Delta Strike 40.00,#ffffff,#0000FF,left,3,TRUE
TSLA@DXFEED,347.50,Day High 347.50,#ffffff,#FF0000,left,3,TRUE
TSLA@DXFEED,338.96,Day Low 338.96,#ffffff,#00AA00,left,3,TRUE
TSLA@DXFEED,351.62,Prev Day High 351.62,#ffffff,#CC0000,left,3,TRUE
TSLA@DXFEED,335.70,Prev Day Low 335.70,#ffffff,#008800,left,3,TRUE
TSLA@DXFEED,340.00,Put Wall 340.00,#ffffff,#00AA00,left,3,TRUE
TSLA@DXFEED,350.00,Call Wall/Key Gamma Strike/Key Delta Strike 350.00,#ffffff,#FF0000,left,3,TRUE
V@DXFEED,368.93,Day High 368.93,#ffffff,#FF0000,left,3,TRUE
V@DXFEED,363.63,Day Low 363.63,#ffffff,#00AA00,left,3,TRUE
V@DXFEED,370.63,Prev Day High 370.63,#ffffff,#CC0000,left,3,TRUE
V@DXFEED,362.90,Prev Day Low 362.90,#ffffff,#008800,left,3,TRUE
V@DXFEED,360.00,Put Wall/Key Delta Strike 360.00,#ffffff,#00AA00,left,3,TRUE
V@DXFEED,370.00,Call Wall 370.00,#ffffff,#FF0000,left,3,TRUE
V@DXFEED,365.00,Key Gamma Strike 365.00,#ffffff,#FF8C00,left,3,TRUE
WMT@DXFEED,107.00,Day High 107.00,#ffffff,#FF0000,left,3,TRUE
WMT@DXFEED,102.85,Day Low 102.85,#ffffff,#00AA00,left,3,TRUE
WMT@DXFEED,116.87,Prev Day High 116.87,#ffffff,#CC0000,left,3,TRUE
WMT@DXFEED,113.99,Prev Day Low 113.99,#ffffff,#008800,left,3,TRUE
WMT@DXFEED,100.00,Put Wall 100.00,#ffffff,#00AA00,left,3,TRUE
WMT@DXFEED,120.00,Call Wall 120.00,#ffffff,#FF0000,left,3,TRUE
WMT@DXFEED,105.00,Key Gamma Strike/Key Delta Strike 105.00,#ffffff,#FF8C00,left,3,TRUE
