Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
AAPL@DXFEED,313.59,Day High 313.59,#ffffff,#FF0000,left,3,TRUE
AAPL@DXFEED,308.39,Day Low 308.39,#ffffff,#00AA00,left,3,TRUE
AAPL@DXFEED,313.36,Prev Day High 313.36,#ffffff,#CC0000,left,3,TRUE
AAPL@DXFEED,309.97,Prev Day Low 309.97,#ffffff,#008800,left,3,TRUE
AAPL@DXFEED,300.00,Put Wall/Key Delta Strike 300.00,#ffffff,#00AA00,left,3,TRUE
AAPL@DXFEED,310.00,Call Wall/Key Gamma Strike 310.00,#ffffff,#FF0000,left,3,TRUE
AMZN@DXFEED,263.89,Day High 263.89,#ffffff,#FF0000,left,3,TRUE
AMZN@DXFEED,260.08,Day Low 260.08,#ffffff,#00AA00,left,3,TRUE
AMZN@DXFEED,263.32,Prev Day High 263.32,#ffffff,#CC0000,left,3,TRUE
AMZN@DXFEED,259.05,Prev Day Low 259.05,#ffffff,#008800,left,3,TRUE
AMZN@DXFEED,250.00,Put Wall/Key Delta Strike 250.00,#ffffff,#00AA00,left,3,TRUE
AMZN@DXFEED,275.00,Call Wall 275.00,#ffffff,#FF0000,left,3,TRUE
AMZN@DXFEED,260.00,Key Gamma Strike 260.00,#ffffff,#FF8C00,left,3,TRUE
GOOGL@DXFEED,350.16,Day High 350.16,#ffffff,#FF0000,left,3,TRUE
GOOGL@DXFEED,345.62,Day Low 345.62,#ffffff,#00AA00,left,3,TRUE
GOOGL@DXFEED,351.60,Prev Day High 351.60,#ffffff,#CC0000,left,3,TRUE
GOOGL@DXFEED,342.49,Prev Day Low 342.49,#ffffff,#008800,left,3,TRUE
GOOGL@DXFEED,330.00,Put Wall 330.00,#ffffff,#00AA00,left,3,TRUE
GOOGL@DXFEED,350.00,Call Wall/Key Gamma Strike/Key Delta Strike 350.00,#ffffff,#FF0000,left,3,TRUE
META@DXFEED,568.64,Day High 568.64,#ffffff,#FF0000,left,3,TRUE
META@DXFEED,561.40,Day Low 561.40,#ffffff,#00AA00,left,3,TRUE
META@DXFEED,561.42,Prev Day High 561.42,#ffffff,#CC0000,left,3,TRUE
META@DXFEED,546.30,Prev Day Low 546.30,#ffffff,#008800,left,3,TRUE
META@DXFEED,550.00,Put Wall 550.00,#ffffff,#00AA00,left,3,TRUE
META@DXFEED,750.00,Call Wall/Key Gamma Strike 750.00,#ffffff,#FF0000,left,3,TRUE
META@DXFEED,700.00,Key Delta Strike 700.00,#ffffff,#0000FF,left,3,TRUE
MU@DXFEED,946.67,Day High 946.67,#ffffff,#FF0000,left,3,TRUE
MU@DXFEED,916.30,Day Low 916.30,#ffffff,#00AA00,left,3,TRUE
MU@DXFEED,936.45,Prev Day High 936.45,#ffffff,#CC0000,left,3,TRUE
MU@DXFEED,887.61,Prev Day Low 887.61,#ffffff,#008800,left,3,TRUE
MU@DXFEED,900.00,Put Wall/Key Gamma Strike/Key Delta Strike 900.00,#ffffff,#00AA00,left,3,TRUE
MU@DXFEED,1000.00,Call Wall 1000.00,#ffffff,#FF0000,left,3,TRUE
NVDA@DXFEED,214.73,Day High 214.73,#ffffff,#FF0000,left,3,TRUE
NVDA@DXFEED,210.11,Day Low 210.11,#ffffff,#00AA00,left,3,TRUE
NVDA@DXFEED,215.59,Prev Day High 215.59,#ffffff,#CC0000,left,3,TRUE
NVDA@DXFEED,207.25,Prev Day Low 207.25,#ffffff,#008800,left,3,TRUE
NVDA@DXFEED,200.00,Put Wall/Key Delta Strike 200.00,#ffffff,#00AA00,left,3,TRUE
NVDA@DXFEED,220.00,Call Wall/Key Gamma Strike 220.00,#ffffff,#FF0000,left,3,TRUE
QQQ@DXFEED,714.04,Day High 714.04,#ffffff,#FF0000,left,3,TRUE
QQQ@DXFEED,707.45,Day Low 707.45,#ffffff,#00AA00,left,3,TRUE
QQQ@DXFEED,709.79,Prev Day High 709.79,#ffffff,#CC0000,left,3,TRUE
QQQ@DXFEED,702.70,Prev Day Low 702.70,#ffffff,#008800,left,3,TRUE
QQQ@DXFEED,700.00,Put Wall/Key Delta Strike 700.00,#ffffff,#00AA00,left,3,TRUE
QQQ@DXFEED,710.00,Call Wall/Key Gamma Strike/0DTE Call Wall/0DTE Most Positive Net Gamma 710.00,#ffffff,#FF0000,left,3,TRUE
QQQ@DXFEED,706.00,0DTE Put Wall/0DTE Most Negative Net Gamma 706.00,#ffffff,#00AA00,left,3,TRUE
TSLA@DXFEED,357.00,Day High 357.00,#ffffff,#FF0000,left,3,TRUE
TSLA@DXFEED,349.20,Day Low 349.20,#ffffff,#00AA00,left,3,TRUE
TSLA@DXFEED,363.24,Prev Day High 363.24,#ffffff,#CC0000,left,3,TRUE
TSLA@DXFEED,348.26,Prev Day Low 348.26,#ffffff,#008800,left,3,TRUE
TSLA@DXFEED,350.00,Put Wall/Key Gamma Strike 350.00,#ffffff,#00AA00,left,3,TRUE
TSLA@DXFEED,400.00,Call Wall/Key Delta Strike 400.00,#ffffff,#FF0000,left,3,TRUE
