Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
LULU@DXFEED,118.70,Day High 118.70,#ffffff,#FF0000,left,3,TRUE
LULU@DXFEED,115.87,Day Low 115.87,#ffffff,#00AA00,left,3,TRUE
LULU@DXFEED,119.55,Prev Day High 119.55,#ffffff,#CC0000,left,3,TRUE
LULU@DXFEED,117.12,Prev Day Low 117.12,#ffffff,#008800,left,3,TRUE
LULU@DXFEED,115.00,Put Wall/Key Gamma Strike 115.00,#ffffff,#00AA00,left,3,TRUE
LULU@DXFEED,120.00,Call Wall/Key Delta Strike 120.00,#ffffff,#FF0000,left,3,TRUE
NVDA@DXFEED,213.60,Day High 213.60,#ffffff,#FF0000,left,3,TRUE
NVDA@DXFEED,209.23,Day Low 209.23,#ffffff,#00AA00,left,3,TRUE
NVDA@DXFEED,214.73,Prev Day High 214.73,#ffffff,#CC0000,left,3,TRUE
NVDA@DXFEED,210.11,Prev Day Low 210.11,#ffffff,#008800,left,3,TRUE
NVDA@DXFEED,200.00,Put Wall/Key Delta Strike 200.00,#ffffff,#00AA00,left,3,TRUE
NVDA@DXFEED,220.00,Call Wall/Key Gamma Strike 220.00,#ffffff,#FF0000,left,3,TRUE
