Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
GOOGL@DXFEED,357.61,Day High 357.61,#ffffff,#FF0000,left,3,TRUE
GOOGL@DXFEED,349.10,Day Low 349.10,#ffffff,#00AA00,left,3,TRUE
GOOGL@DXFEED,359.44,Prev Day High 359.44,#ffffff,#CC0000,left,3,TRUE
GOOGL@DXFEED,348.44,Prev Day Low 348.44,#ffffff,#008800,left,3,TRUE
GOOGL@DXFEED,350.00,Put Wall/Key Delta Strike 350.00,#ffffff,#00AA00,left,3,TRUE
GOOGL@DXFEED,370.00,Call Wall 370.00,#ffffff,#FF0000,left,3,TRUE
GOOGL@DXFEED,355.00,Key Gamma Strike/0DTE Put Wall/0DTE Most Positive Net Gamma 355.00,#ffffff,#FF8C00,left,3,TRUE
GOOGL@DXFEED,360.00,0DTE Call Wall 360.00,#ffffff,#FF0000,left,3,TRUE
GOOGL@DXFEED,347.50,0DTE Most Negative Net Gamma 347.50,#ffffff,#FF8C00,left,3,TRUE
SPCX@DXFEED,158.13,Day High 158.13,#ffffff,#FF0000,left,3,TRUE
SPCX@DXFEED,153.23,Day Low 153.23,#ffffff,#00AA00,left,3,TRUE
SPCX@DXFEED,156.60,Prev Day High 156.60,#ffffff,#CC0000,left,3,TRUE
SPCX@DXFEED,149.93,Prev Day Low 149.93,#ffffff,#008800,left,3,TRUE
SPCX@DXFEED,150.00,Put Wall/Key Gamma Strike/Key Delta Strike 150.00,#ffffff,#00AA00,left,3,TRUE
SPCX@DXFEED,160.00,Call Wall 160.00,#ffffff,#FF0000,left,3,TRUE
